ITERATION, [OBJ_FUNC]STIFFNESSENERGY_OBJ_FUNC, [OBJ]OBJ_FUNC_DRESP:STIFFNESS_MEASURE, [OBJ]OBJ_FUNC_TERM:STIFFNESS_MEASURE, [CON]MASS_CONSTRAINT_1:LE:MASS_DRESP_1, [VAR]STIFFNESS_MEASURE, [VAR]MASS_DRESP_1, [VAR]AV_CONV_ALL_ELEMENTS, [VAR]AV_CHG_OBJF_ALL_ELEMENTS, [VAR]AV_CHG_DV_ALL_ELEMENTS, [VAR]AV_CONV_TRUE_ALL_ELEMENTS
Norm-Values:, 4.9972889e-4, 4.9972889e-4, 4.9972889e-4, 2.2687488, 4.9972889e-4, 3.2410698, 0.0000000, 1.0000000e-3, 4.9999999e-3, 9.9000001e-1
0, 4.9972889e-4, 4.9972889e-4, 4.9972889e-4, 2.2687969, 4.9972889e-4, 2.2687969, 0.0000000, 0.0000000, 0.0000000, 9.9000001e-1
1, 4.1596621e-4, 4.1596621e-4, 4.1596621e-4, 2.2272201, 4.1596621e-4, 2.2272201, 0.0000000, 2.0136897e-1, 5.1844552e-2, 9.9000001e-1
2, 3.4903520e-4, 3.4903520e-4, 3.4903520e-4, 2.2296307, 3.4903520e-4, 2.2296307, 0.0000000, 1.9176006e-1, 4.4804107e-2, 9.9000001e-1
3, 3.0486914e-4, 3.0486914e-4, 3.0486914e-4, 2.2359483, 3.0486914e-4, 2.2359483, 0.0000000, 1.4486888e-1, 4.5904160e-2, 9.9000001e-1
4, 2.8203105e-4, 2.8203105e-4, 2.8203105e-4, 2.2456248, 2.8203105e-4, 2.2456248, 0.0000000, 8.0977239e-2, 4.4164851e-2, 9.9000001e-1
5, 2.6841118e-4, 2.6841118e-4, 2.6841118e-4, 2.2530949, 2.6841118e-4, 2.2530949, 0.0000000, 5.0742541e-2, 3.9868783e-2, 9.9000001e-1
6, 2.6134064e-4, 2.6134064e-4, 2.6134064e-4, 2.2537184, 2.6134064e-4, 2.2537184, 0.0000000, 2.7054893e-2, 3.5998132e-2, 9.9000001e-1
7, 2.5692408e-4, 2.5692408e-4, 2.5692408e-4, 2.2540374, 2.5692408e-4, 2.2540374, 0.0000000, 1.7190155e-2, 3.4311056e-2, 9.9000001e-1
8, 2.5418159e-4, 2.5418159e-4, 2.5418159e-4, 2.2532079, 2.5418159e-4, 2.2532079, 0.0000000, 1.0789463e-2, 3.3942766e-2, 9.9000001e-1
9, 2.5157290e-4, 2.5157290e-4, 2.5157290e-4, 2.2538273, 2.5157290e-4, 2.2538273, 0.0000000, 1.0369530e-2, 3.1625453e-2, 9.9000001e-1
10, 2.5022822e-4, 2.5022822e-4, 2.5022822e-4, 2.2532039, 2.5022822e-4, 2.2532039, 0.0000000, 5.3738314e-3, 2.7664538e-2, 9.9000001e-1
11, 2.4938217e-4, 2.4938217e-4, 2.4938217e-4, 2.2528117, 2.4938217e-4, 2.2528117, 0.0000000, 3.3925776e-3, 2.5430461e-2, 9.9000001e-1
12, 2.4818484e-4, 2.4818484e-4, 2.4818484e-4, 2.2547872, 2.4818484e-4, 2.2547872, 0.0000000, 4.8243543e-3, 2.3433959e-2, 9.9000001e-1
13, 2.4691375e-4, 2.4691375e-4, 2.4691375e-4, 2.2579408, 2.4691375e-4, 2.2579408, 0.0000000, 5.1478730e-3, 2.1699050e-2, 9.9000001e-1
14, 2.4575845e-4, 2.4575845e-4, 2.4575845e-4, 2.2605779, 2.4575845e-4, 2.2605779, 0.0000000, 4.7009806e-3, 1.9749487e-2, 9.9000001e-1
15, 2.4472692e-4, 2.4472692e-4, 2.4472692e-4, 2.2617500, 2.4472692e-4, 2.2617500, 0.0000000, 4.2150128e-3, 1.8131247e-2, 9.9000001e-1
16, 2.4398122e-4, 2.4398122e-4, 2.4398122e-4, 2.2624869, 2.4398122e-4, 2.2624869, 0.0000000, 3.0563760e-3, 1.6415447e-2, 9.9000001e-1
17, 2.4369094e-4, 2.4369094e-4, 2.4369094e-4, 2.2614744, 2.4369094e-4, 2.2614744, 0.0000000, 1.1911875e-3, 1.5686605e-2, 9.9000001e-1
18, 2.4327161e-4, 2.4327161e-4, 2.4327161e-4, 2.2614648, 2.4327161e-4, 2.2614648, 0.0000000, 1.7237029e-3, 1.5038807e-2, 9.9000001e-1
19, 2.4263165e-4, 2.4263165e-4, 2.4263165e-4, 2.2634425, 2.4263165e-4, 2.2634425, 0.0000000, 2.6375954e-3, 1.4269866e-2, 9.9000001e-1
20, 2.4225768e-4, 2.4225768e-4, 2.4225768e-4, 2.2638855, 2.4225768e-4, 2.2638855, 0.0000000, 1.5436856e-3, 1.3070728e-2, 9.9000001e-1
