ITERATION, [OBJ_FUNC]STIFFNESSENERGY_OBJ_FUNC, [OBJ]OBJ_FUNC_DRESP:STIFFNESS_MEASURE, [OBJ]OBJ_FUNC_TERM:STIFFNESS_MEASURE, [CON]MASS_CONSTRAINT_1:LE:MASS_DRESP_1, [VAR]STIFFNESS_MEASURE, [VAR]MASS_DRESP_1, [VAR]AV_CONV_ALL_ELEMENTS, [VAR]AV_CHG_OBJF_ALL_ELEMENTS, [VAR]AV_CHG_DV_ALL_ELEMENTS, [VAR]AV_CONV_TRUE_ALL_ELEMENTS
Norm-Values:, 2.1626111e-4, 2.1626111e-4, 2.1626111e-4, 3.0365479, 2.1626111e-4, 6.0730958, 0.0000000, 1.0000000e-3, 4.9999999e-3, 9.9000001e-1
0, 2.1626111e-4, 2.1626111e-4, 2.1626111e-4, 3.0365531, 2.1626111e-4, 3.0365531, 0.0000000, 0.0000000, 0.0000000, 9.9000001e-1
1, 1.9052305e-4, 1.9052305e-4, 1.9052305e-4, 2.9017041, 1.9052305e-4, 2.9017041, 0.0000000, 1.3509159e-1, 6.4753689e-2, 9.9000001e-1
2, 1.6802360e-4, 1.6802360e-4, 1.6802360e-4, 2.9121964, 1.6802360e-4, 2.9121964, 0.0000000, 1.3390645e-1, 4.5853041e-2, 9.9000001e-1
3, 1.5424320e-4, 1.5424320e-4, 1.5424320e-4, 2.9567890, 1.5424320e-4, 2.9567890, 0.0000000, 8.9342035e-2, 3.4710649e-2, 9.9000001e-1
4, 1.4550955e-4, 1.4550955e-4, 1.4550955e-4, 2.9922872, 1.4550955e-4, 2.9922872, 0.0000000, 6.0021162e-2, 2.5563911e-2, 9.9000001e-1
5, 1.4132237e-4, 1.4132237e-4, 1.4132237e-4, 3.0141492, 1.4132237e-4, 3.0141492, 0.0000000, 2.9628592e-2, 2.2084856e-2, 9.9000001e-1
6, 1.3975853e-4, 1.3975853e-4, 1.3975853e-4, 3.0185633, 1.3975853e-4, 3.0185633, 0.0000000, 1.1189558e-2, 1.9695828e-2, 9.9000001e-1
7, 1.3835391e-4, 1.3835391e-4, 1.3835391e-4, 3.0158007, 1.3835391e-4, 3.0158007, 0.0000000, 1.0152396e-2, 2.1997122e-2, 9.9000001e-1
8, 1.3652066e-4, 1.3652066e-4, 1.3652066e-4, 3.0201271, 1.3652066e-4, 3.0201271, 0.0000000, 1.3428373e-2, 2.1028815e-2, 9.9000001e-1
9, 1.3441331e-4, 1.3441331e-4, 1.3441331e-4, 3.0232074, 1.3441331e-4, 3.0232074, 0.0000000, 1.5678136e-2, 1.8662859e-2, 9.9000001e-1
10, 1.3246169e-4, 1.3246169e-4, 1.3246169e-4, 3.0214205, 1.3246169e-4, 3.0214205, 0.0000000, 1.4733434e-2, 2.0247210e-2, 9.9000001e-1
11, 1.3086956e-4, 1.3086956e-4, 1.3086956e-4, 3.0189009, 1.3086956e-4, 3.0189009, 0.0000000, 1.2165739e-2, 2.1730639e-2, 9.9000001e-1
12, 1.2940510e-4, 1.2940510e-4, 1.2940510e-4, 3.0171669, 1.2940510e-4, 3.0171669, 0.0000000, 1.1316873e-2, 2.3700189e-2, 9.9000001e-1
13, 1.2781718e-4, 1.2781718e-4, 1.2781718e-4, 3.0170727, 1.2781718e-4, 3.0170727, 0.0000000, 1.2423365e-2, 2.4038248e-2, 9.9000001e-1
14, 1.2641943e-4, 1.2641943e-4, 1.2641943e-4, 3.0182478, 1.2641943e-4, 3.0182478, 0.0000000, 1.1056489e-2, 2.2450965e-2, 9.9000001e-1
15, 1.2544396e-4, 1.2544396e-4, 1.2544396e-4, 3.0197537, 1.2544396e-4, 3.0197537, 0.0000000, 7.7761663e-3, 2.0397646e-2, 9.9000001e-1
16, 1.2476501e-4, 1.2476501e-4, 1.2476501e-4, 3.0209498, 1.2476501e-4, 3.0209498, 0.0000000, 5.4418198e-3, 1.8874969e-2, 9.9000001e-1
17, 1.2409968e-4, 1.2409968e-4, 1.2409968e-4, 3.0226321, 1.2409968e-4, 3.0226321, 0.0000000, 5.3612394e-3, 1.7408984e-2, 9.9000001e-1
18, 1.2352267e-4, 1.2352267e-4, 1.2352267e-4, 3.0235417, 1.2352267e-4, 3.0235417, 0.0000000, 4.6713091e-3, 1.5963741e-2, 9.9000001e-1
19, 1.2317684e-4, 1.2317684e-4, 1.2317684e-4, 3.0235896, 1.2317684e-4, 3.0235896, 0.0000000, 2.8075592e-3, 1.5100863e-2, 9.9000001e-1
